Word count of material used ,Cross-checked,Entered in axon-dendrite spreadsheet,Altered,ReferenceID,CellType,Material Used,Location in reference,Interpretation,Authors,Title,Journal/Book,Year,PMID/ISBN,PMCID,Notes,Replaced,CellType Proofreadby,CellType Proofreaddate,CellType Unique ID,Figure filename,A-D check
32,AnK,1,JMF,611016,methods,"""Long-Evans rats, of both sexes, ...""","p852, right bot",<male and female long-evans rats>,Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
15,AnK,,JMF,611017,methods,"""Serial sections, 75 microm thick, were cut perpendicular to the long axis of the hippocampus.""","p853, left mid",<75 microm slices>,Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
14,AnK,,AnK,611018,DG mossy 0103 cell,"""Fig. 21 Mossy cell of zone 4 [of the dentate gyrus].  Objective X 100.""","p878, Fig. 21","DG mossy 0103 cell

[Y:DG:mossy:S:DG:H] {#1},
[Y:DG:mossy:D:DG:H] {#1}",Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
22,AnK,,JMF,611019,DG mossy 0103 cell,"""Fig. 22 Low power drawings to demonstrate the extent of the mossy cell dendritic plume [in the dentate gyrus].  Objective X 25.""","p879, Fig. 22","DG mossy 0103 cell

[Y:DG:mossy:S:DG:H] {#1},
[Y:DG:mossy:D:DG:H] {#1}",Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
42,AnK,,JMF,611020,DG mossy 0103 cell,"""The dendrites [of a the mossy cell in the dentate gyrus] emerge from the soma in a highly polar manner.  The most characteristic feature of this cell type is the total encrustation of 40-80 microm of the proximal dendrites with thorny excrescences.""","p879, right top",<thorny excrescences on proximal dendrites>,Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
33,AnK,,JMF,611021,DG mossy 0103 cell,"""These distal dendrites [of the mossy cell in the dentate gyrus] have a moderate number of spines; the number appears to be substantially lower than on the distal dendrites of hippocampal pyramidal cells.""","p879, right bot",<spiny distal dendrites>,Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
43,AnK,,JMF,611022,DG mossy 0103 cell,"""The dendrites of the mossy cell [in the dentate gyrus] are rectilinear and branch infrequently (figs. 21,22).  The inset of figure 21 and figure 22 demonstrates that the long, thin dendrites of the mossy cells reach to the very limits of zone 4.""","p880, left top",DG mossy 0103 cell [Y:DG:mossy:D:DG:H] {#3},Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
61,AnK,,JMF,611023,DG mossy 0103 cell,"""The dendrites have not been seen to penetrate the granular cell layer in the 28-day-old brains.  In fact, dendrites have been observed to bend considerably to avoid such a penetration.  However, in hippocampi from younger animals (14 days) and from aged animals (18 months), a few mossy cells send one dendrite into the fascia dentata which ramifies in the molecular layer.""","p880, left mid","<D:SM in young (<14 days) and old (18 months), but not at 28 days>",Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
112,AnK,,JMF,611024,DG mossy 0103 cell,"""The axon [of the mossy cell in the dentate gyrus] originates from one pole of the cell body which generally has no dendrite.  The axon is initially thick but breaks up into finer collaterals, some of which project into the molecular layer of the fascia dentata and some which project out of zone 4 towards the fimbria -- though no collaterals have been followed into the fimbria.  Further, no thick collaterals, analogous to Schaffer collaterals, have been seen from this cell.  It should be noted that those collaterals which innervate the fascia dentata travel from zone 4 through the granular cell layer and terminate in the lower portion of the molecular layer.""","p880, right bot","DG mossy 0103 cell [Y:DG:mossy:A:DG:H] {#4},
<some A:SMi>",Amaral DG,A Golgi study of cell types in the hilar region of the hippocampus in the rat,J Comp Neurol,1978,730852,not free,,,,,,,DWW
43,,1,ACA,611025,"CA3a/b Pyramidal 23223 Cells, CA1 2223 pyramidal cells","""All neurons in CA1 receive inputs from both Schaffer and commissural pathways (Frotscher and Zimmer, 1983; Frotscher et al., 1984; Schwartzkroin and Kunkel, 1985: Nitsch et al., 1990) and synapses are usually located in the stratum radiatum and oriens (Frotscher et al., 1984).""","p499, right top","CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab)

[Y:C3:Pyr:A:CA1:SR_SO]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
66,MR,,MR,611026,CA3a/b Pyramidal 23223 Cells,"""Pyramidal cells located in mid and distal parts of CA3 field do not give rise to Schaffer collaterals proper but nevertheless send axonal branches to proximal and mid parts of  the CA1 stratum oriens  (Lorente de No, 1934; Blackstad, 1985; Ishizuka et al., 1990). As a matter of convenience these fibres are also called Schaffer collaterals since it is not known if  they are functionally different.""","p499, right top","CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab)

[Y:CA3:Pyr:A:CA1:SO]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
183,MR,,MR,611027,"CA3c Pyramidal Neurons
03223-CA10101-CA20101-DG0101, CA3a/b Pyramidal 23223 Cells","""Phaseolus vulgaris leucoagglutin injections in CA3 have shown clear gradients of  projection along both septotemporal and transverse axes (Ishizuka et al., 1990).  CA3 pyramidal cells located in the mid part along the septotemporal axis are characterized by the following properties (Fig. 2a): 1.  Proximal CA3 pyramidal cells mainly project in the distal part of CA1 area in the upper part of the stratum radiatum.  There is a preferential septal direction of projection with an angle of  dispersion of 64° and a maximal density at 15° toward the septal pole for the most proximal CA3 pyramidal cells. 2.  Mid CA3 pyramidal cells mainly project to the mid part of CA1 area in the lower part of the stratum radiatum and the upper part of  the stratum oriens in both septal and temporal directions.  3.  Distal CA3 pyramidal cells mainly project to the proximal part of CA1 area in the lower part of the stratum oriens in a preferential temporal  direction.""","p499, right mid","CA3 (+)03223p-DG 0101-CA2 0101-CA1 0101 pryamidal cells c (PC-c) 
 
[Y:CA3:CA3c Pyr:A:CA1:SR]{3}, 

CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab)
 
[Y:CA3:Pyr:A:CA1:SR_SO]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
91,MR,,MR,611028,CA3a/b Pyramidal 23223 Cells,"""It is also known that CA3 pyramidal cells have multiple axonal branchings seen as a bundle of parallel axons (Finch and Babb, 1981).  Apart from the Schaffer collateral (Sayer et al., 1989) at least three sister collaterals can be found vertically in the stratum radiatum (Andersen, 1990). This gives a minimum of 4 X  1.3 = 5.2 synaptic contacts from a single CA3 pyramidal cell onto a single CA1 pyramidal cell.  Moreover, single radiatum fibres have been reported to produce multiple synapses with single CA1 pyramidal cells (Sorra and Harris, 1993).""","p499, right bot","CA3 (+)23223p-CA2 0101-CA1 0101
pyramidal cells a/b (PC ab)

[Y:CA3:Pyr:A:CA1:SR]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
109,MR,,MR,611029,"CA3c Pyramidal Neurons
03223-CA10101-CA20101-DG0101","""Proximal CA3 pyramidal cells projection zone is limited: local in the transverse direction and extensive in the septal direction (ratio 3:1).  A full reconstruction of a CA3 pyramidal cell filled with HRP [horseradish peroxidase] shows an extension of 4.5 mm in the septal direction and 1.5 mm in the temporal direction (Tamamaki and Nojyo, 1991).  Synapses are mainly located in stratum radiatum and oriens.  Near the emitting cell the collaterals innervate both areas; more distally in the septal direction the fibres terminate in the stratum radiatum, whereas in the temporal direction the main projection zone is found in the stratum oriens (Ishizuka et al., 1990; Tamamaki and Nojyo, 1991).""","p504, left bot","CA3 (+)03223p-DG 0101-CA2 0101-CA1 0101 pryamidal cells c (PC-c)

[Y:CA3:CA3c Pyr:A:CA3:SR_So]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
89,,,ACA,611030,CA3a/b Pyramidal 23223 Cells,"""CA3 pyramidal cells located in the mid part of CA3 field provide associational fibres to the whole transverse extent, giving rise to most of the associational fibres per se.  The fibres terminate predominantly in the stratum radiatum in both septal and temporal directions.  Distal CA3 pyramidal cells project backward toward proximal and mid CA3.  They innervate predominantly the stratum oriens with a preferential temporal direction.  As a general property the projection zone of all CA3 pyramidal cells is more extensive in the septal direction than in the temporal one.""","p504, left bot","CA3 (+)23223p-CA2 0101-CA1 0101
pyramidal cells a/b (PC ab)

[Y:CA3:Pyr:A:CA3:SR_SO]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
182,MR,,MR,611031,CA1 2223 pyramidal cells,"""Phaseolus vulgaris leucoagglutin injections in CA1 area showed clear gradients of projection in both the septotemporal and transverse axis (Amaral et al., 1991).  CA1 pyramidal cells located in the mid part along the septotemporal axis are characterized by the following properties: 1) Proximal CA1 pyramidal cells (i.e., at the border of the CA2 region) project to the distal parts of the subiculum and collateral branches extend throughout the whole extent of CA1 area in stratum oriens.  2) CA1 pyramidal cells located in the mid part along the transverse axis are characterized by a small circular area of  associational connectivity in stratum oriens (200 microm radius) and a further projection toward the  subiculum with collateral branching as described for proximal CA1 pyramidal cells.  3) Distal CA1 pyramidal cells project to nearby areas in the subiculum with some fibres backtracking to the CA1 area at the border of stratum radiatum and moleculare.  They do not appear to extend further backward than their locus of  origin.  Intracellular labeling of CA1 pyramidal cells showed that very few collaterals enter the stratum radiatum  (Tamamaki and Nojyo, 1990).""","p505, right bot","CA1 (+)2223p-SUB 111-EC 000011 pyramidal cell (PC)

[Y:CA1:pyramidal:A:CA1:SO]{#4}, 
[Y:CA1:pyramidal:A:SUB:unspecified]{#4}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
98,MR,,MR,611032,CA1 2232 axo-axonic cells,"""In a completely HRP[horseradish peroxidase]-filled chandelier cell in area CA1 three dendrites can be distinguished in the stratum radiatum with a 200 microm transverse extension (Li et al., 1992).  In stratum oriens the extension is 300 microm.  The axonal arborization is contained in an ellipse with the principle axis 0.85 mm  along the longitudinal direction and the small axis 0.6 mm along the transverse direction. From the figures listed in Appendix A1 there are 9,424 pyramidal cells in this elipse which results in a probability of connection between one chandelier cell and a given pyramidal cell of 0.13.""","p506, right top","CA1 (-)2232 axo-axonic (AA) neurons

[Y:CA1:axo-axonic:D:CA1:SR_SO]{#3},
[Y:CA1:axo-axonic:A:CA1:SP]{#4}

<note: A:CA1:SP inferred from mention of 9,424 pyramidal cells in ellipse>","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
66,,,ACA,611033,CA1 2233 oriens-alveus,"""We consider as belonging to the same population the [CA1] O/A [Oriens/Alveus] interneurons proper (Lacaille et al., 1987) and the so-called vertical cells (Lacaille and Williams, 1990).  Their dendrites extend into all strata (Lacaille and Williams, 1990).  The axonal arborization seems to cover a wide area in the transverse direction, projecting onto basal dendrites and soma of pyramidal cells and other interneurons (Lacaille et al., 1987).""","p506, right bot","CA1 (-)2233 oriens-alveus (O-A) neurons

[Y:CA1:O-A:S:CA1:SO]{3},
[Y:CA1:O-A:D:CA1:SLM_SR_SP_SO]{4}
[Y:CA1:O-A:A:CA1:SP_SO]{4}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
7,,,ACA,611034,"CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab), CA3c Pyramidal Neurons
03223-CA10101-CA20101-DG0101","""APPENDIX A2. Characteristics of [CA3] Schaffer/Commissural Projections""","p526, top","CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab)

[Y:CA3:Pyr:A:CA1:SO_SR]{3}, 

CA3 (+)03223p-DG 0101-CA2 0101-CA1 0101 pryamidal cells c (PC-c)

[Y:CA3:CA3c Pyr:A:CA1:SO_SR]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
5,MR,,MR,611035,"CA3c Pyramidal Neurons 03223-CA10101-CA20101-DG0101, CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab)","""APPENDIX A3. CA3 Associational Pathway""","p526, mid","CA3 (+)03223p-DG 0101-CA2 0101-CA1 0101 pryamidal cells c (PC-c)

[Y:CA3:CA3c Pyr:A:CA3:SO_SR]{3}, 

CA3 (+)23223p-CA2 0101-CA1 0101 pyramidal cells a/b (PC ab)

[Y:CA3:Pyr:A:CA3:SO_SR]{3}","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
9,,,ACA,611036,CA1 2232 axo-axonic cells,"""APPENDIX A6. Patterns of Connectivity of CA1 Inhibitory lnterneurons""","p527, top","CA1 (-)2232 axo-axonic (AA) neurons

[Y:CA1:axo-axonic:A:CA1:SP]{#4} 

<Rule 4, Section 3, Subsection ii, Clause 3 - perisomatic axonal targeting interpreted as PCL>","Bernard C, Wheal HV",Model of local connectivity patterns in CA3 and CA1 areas of the hippocampus,Hippocampus,1994,7889123,not free,main source,,BCS,05/04/2012,,,DWW
58,1,1,ACA,611037,DG 2201-CA3 00110 granule cells,"""(a) The hilus.  Lesions barely destroying granular cells but sparing the hilus of the fascia dentata [or dentate gyrus] are seen to cause fiber degeneration also within the hilus, no doubt primarily of the [dentate gyrus granule cell] mossy fiber collaterals described by Golgi (1886) and by Cajal (1893, '11, '68) and shown in photographs by one of us (Blackstad, '63).""","p441, right mid","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:DG:H]{#4}","Blackstad, TW, K Brink, J Hem, Jeune, B",Distribution of hippocampal mossy fibers in the rat An experimental study with silver impregnation methods,The Journal of Comparative Neurology,1970,4907846,not free,Mercer et al. 2007 2nd-order reference,,,,,,DWW
67,1,,ACA,611038,DG 2201-CA3 00110 granule cells,"""The course of the degenerated [dentate gyrus granule cell] mossy fibers proper through the regio inferior, close to the hilus [of the dentate gyrus], corresponds to the descriptions by Cajal (1893. '11, '68) and Lorente de No ('34).  On leaving the hilus, the majority of the fibers are above the pyramidal cells, but more than a few initially follow an infrapyrarnidal path from which they gradually ascend to a suprapyramidal position.""","p441, right bot","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:CA3:SL]{#3},
<more than few A:CA3c:SP>,
<regio inferior = CA3>","Blackstad, TW, K Brink, J Hem, Jeune, B",Distribution of hippocampal mossy fibers in the rat An experimental study with silver impregnation methods,The Journal of Comparative Neurology,1970,4907846,not free,Mercer et al. 2007 2nd-order reference,,,,,,DWW
92,1,,ACA,611039,DG 2201-CA3 00110 granule cells,"""In the majority of animals the layer of degenerating [dentate gyrus granule cell] mossy fibers tapers and ceases exactly at the limit between the hippocampal subfield characterized by giant pyramidal cells and the distally adjoining subfield inhabited by smaller pyramidal cells.  From other studies it is clear that this is the point where the intense zinc reaction typical of the mossy fiber layer ceases (McLardy, '63).   In other words, our experiments show that mossy fibers reach exactly to the limit between regio superior and inferior of Cajal, as stated by that author.""","p442, left mid","DG (+)2201p-CA3 00110 granule cells (GC)

<Blaabjerg (2007): the most temporal levels in rat have A:CA1 and European hedgehogs have A:CA1:SP>
<regio inferior = CA3>,
<regio superior = CA1>","Blackstad, TW, K Brink, J Hem, Jeune, B",Distribution of hippocampal mossy fibers in the rat An experimental study with silver impregnation methods,The Journal of Comparative Neurology,1970,4907846,not free,Mercer et al. 2007 2nd-order reference,,,,,,DWW
40,,1,ACA,611040,DG 2201-CA3 00110 granule cells,"""[dentate gyrus granule cell] Mossy fiber collaterals in the granule cell layer [of the dentate gyrus] selectively innervated parvalbumin-containing cells, with numerous contacts per cell, whereas the granule cells were avoided. Under the electron microscope, those boutons made asymmetrical contacts on dendrites and somata.""","p3219, abstract","DG (+)2201p-CA3 00110 granule cells (GC)

<A:SG contact only through en passant boutons>,
<A:SG make asymmetrical synapses onto dendrites and somata of PV+ cells and avoid GCs>","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
35,,,ACA,611041,DG 2201-CA3 00110 granule cells,"""The axons of the granule cells of the dentate gyrus, known as mossy fibers, terminate on the proximal apical dendrites of the pyramidal cells in the CA3 region, within the stratum lucidum [1] [Lorente de No, 1934].""","p3219, left top","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:CA3:SL]{#3}","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
34,,,ACA,611042,DG 2201-CA3 00110 granule cells,"""These [dentate gyrus granule cell] mossy fibers, as evidenced by Timm staining, arborize in the hilus [of the dentate gyrus] as well, where they densely innervate the mossy cells [6] [Blasco-Ibanez, 1997] and hilar interneurons [7] [Acsady, 1998].""","p3219, left mid","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:DG:H]{#3}","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
131,,,ACA,611043,DG 2201-CA3 00110 granule cells,"""The Timm method produces a dense black staining in the mossy fibers that fill the hilus (Fig. 1a) and the stratum lucidum of the CA3 region, as described earlier.  Numerous collaterals can be observed in the granule cell layer of the dentate gyrus, many of which delineate the somata and proximal dendrites of cells larger than the average granule cell, thus resembling interneurons (Fig. 1c-e, asterisks). The intragranular fibers rarely if ever branch and they seem to possess only en passant boutons regularly spaced along the membrane of the contacted cells. The fibers usually fade away and  disappear upon reaching the inner molecular layer. The  number of recurrent collaterals was higher in the dorsal blade than in the ventral blade of the dentate gyrus, and they were not always uniformly distributed.""","p3220, right top","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:DG:H]{#3},
[Y:DG:granule:A:CA3:SL]{#3},

<A:SG contact only through en passant boutons>,
<more A:SG dorsally than ventrally>,
<A:SG delineate somata and
proximal dendrites of non-GCs>","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
88,,,ACA,611044,DG 2201-CA3 00110 granule cells,"""Fig. 1. Areas of the dentate gyrus enriched with vesicular zinc, as evidenced by the Timm method. ... (b) From the densely stained mossy fibers of the hilus (mf), stained collaterals arise (arrows) that extend to and branch in the granule cell layer (gl) and some of them in the inner molecular layer (mli) of the dentate gyrus. (c-e) At higher magnification, those collaterals seem to outline the somata (asterisks) and dendrites (arrows) of cells in the granule cell layer, they have a size and morphology resembling interneurons.""","p3221, Fig. 1","DG (+)2201p-CA3 00110 granule cells (GC)

[Y:DG:granule:A:DG:H]{#1,#3},

<some A:SMi>,
<A:SG contact only through en passant boutons>,
<A:SG delineate somata and proximal dendrites of non-GCs>","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
63,,,ACA,611045,DG 2201-CA3 00110 granule cells,"""Fig. 2. Innervation of PV[parvalbumin]-containing basket cells of the dentate gyrus by [dentate gyruis granule cell] mossy fiber collaterals. (a-c) Light micrographs at three different focal planes showing the massiveness of the basket-like innervation of mossy fiber collaterals on a PV-positive basket cell. gl, granular layer; h, hilus; mf, mossy fibers; mli, inner molecular layer; mlo, outer molecular layer, asterisk indicates PV-immunoreactive cell. Bar = 20 microm.""","p3222, Fig. 2","DG (+)2201p-CA3 00110 granule cells (GC)

<A:SG contact only through en passant boutons>,
<A:SG collaterals on soma of PV+ basket cells>","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
69,,,ACA,611046,DG 2201-CA3 00110 granule cells,"""Fig. 3. Innervation of PV[parvalbumin]-containing basket cells of the dentate gyrus by [dentate gyrus granule cell] mossy fiber collaterals. Every type of PV-immunoreactive basket cell in the granule cell layer of the dentate gyrus is consistently and densely innervated by mossy fiber collaterals that follow the perimeter of somata and dendrites. In the inner molecular layer, the PV-immunoreactive dendrites are free of contacts by Timm stained boutons. (a-d) Different types of PV-positive basket cells.""","p3223, Fig. 3","DG (+)2201p-CA3 00110 granule cells (GC)

<A:SG contact only through en passant boutons>,
<A:SG collaterals on somata and dendrites of PV+ basket cells>","Blasco-Ibanez, J.M., Martinez-Guijjaro, F.J. and Freund, T.F.",Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive  interneurons  in  the  granule  cell layer of the rat dentate gyrus.,"Neuroreport, 11: 3219ďž-3225.",2000,11043552,not free,,,,,,,DWW
116,1,1,MR,611047,"DG (+)0103 mossy cells (MC)
[Y:DG:mossy:S:DG:H]{#3}, DG (+)0103 mossy cells (MC)
[Y:DG:mossy:A:DG:SMi] {#3}
<N=13 of 19 with A:SM>
<400 microm slice>","""The authors hypothesized that mossy cells, the major cell type of the [dentate gyrus] hilus, also project locally to the inner molecular layer. Within a 400 microm slice, mossy cells were (1) recorded intracellularly while the inner molecular layer was stimulated to test for antidromic responses, and (2) labeled with biocytin and examined with light and electron microscopy for axonal projections into the  molecular layer. The authors found that mossy cells can be antidromically activated by inner molecular layer stimulation and that axonal projections to the molecular layer can be visualized within a 400 microm hippocampal slice.  In 13 of 19 intracellularly labeled and electrophysiologically characterized mossy cells, collaterals could be traced into the molecular layer.""","p349, Abstract","DG mossy 0103 cell [Y:DG:mossy:S:DG:H] {#3},
DG mossy 0103 cell [Y:DG:mossy:A:DG:SMi] {#3}
<N=13 of 19 with A:SM>
<400 microm slice>","Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,not free,,,BCS,05/04/2012,,,DWW
13,1,,ACA,611048,methods,"""Female, Sprague-Dawley rats (150-250 g) were anesthetized (50 mg/kg  pentobarbital, i.p.) and decapitated.""","p350, left top",<150-250 g female Sprague-Dawley rats>,"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,not free,,,BCS,05/04/2012,,,DWW
27,1,,ACA,611049,methods,"""Horizontal, 400 microm slices were cut from the temporal half of the hippocampus in 4°C oxygenated bathing medium and held at room temperature until needed for recording.""","p350, left mid",<400 microm horizontal slices>,"Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,not free,,,BCS,05/04/2012,,,DWW
40,1,,MR,611050,DG (+)0103 mossy cells (MC),"""Somata and almost all of the dendrites were confined to Amaral's (1978) zone 4 of the hilus [of the dentate gyrus].  Large, complex spines, termed thorny excrescences, covered the  proximal dendrites, and smaller, conventional spines occurred on the distal dendrites.""","p350, right bot","DG mossy 0103 cell [Y:DG:mossy:S:DG:H] {#3},
DG mossy 0103 cell [Y:DG:mossy:D:DG:H] {#3}
<thorny excrescences on proximal dendrites>
<spines on distal dendrites>","Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,not free,,,BCS,05/04/2012,,,DWW
70,1,,MR,611051,DG mossy 0103 cell,"""Nineteen mossy cells had a principal axon and many fine collaterals that were clearly visible within the hilus [of the dentate gyrus].""","p351, left top","DG mossy 0103 cell [Y:DG:mossy:A:DG:H] {#3}
<N=19 with A:H>","Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,not free,,,BCS,05/04/2012,,,DWW
55,1,,MR,611052,DG (+)0103 mossy cells (MC),"""The cell soma (22 microm diameter) was multipolar, and the dendritic arbor was confined to zone 4 of the hilus [of the dentate gyrus].  A minority (6 of 41, 15%) of labeled mossy cells extended at least one dendrite through the granule cell layer and into the molecular layer of the dentate gyrus (Fig. 5).   Large, complex spines covered the proximal dendrites and smaller, conventional spines were found more distally (Figs. 2A; 7A).  The principal axon (Fig. 2A) gave rise to fine collaterals that extended throughout the hilus.  This cell sent two axon collaterals across the granule cell layer and into the inner molecular layer (one collateral is shown in Fig. 2B) and was therefore counted as a molecular layer-projecting mossy cell.""","p351, left bot","DG (+)0103 mossy cells (MC) 
[Y:DG:mossy:D:DG:H] {#3}, 

DG (+)0103 mossy cells (MC)
<N=6 of 41 with D:SM unspecified, are 2323 in another packet>, 

DG (+)0103 mossy cells (MC)
[Y:DG:mossy:A:DG:SMi] {#3}
<large complex spines on proximidal dendrites>
<smaller conventional spines on distal dendrites>","Buckmaster   PS,  Strowbridge  BW,   Kunkel  DD,  Schmiege  DL, Schwartzkroin  PA ",Mossy cell  axonal projections  to the dentate  gyrus  molecular  layer  in  the  rat  hippocampal  slice. ,Hippocampus,1992,1284975,not free,,,BCS,05/04/2012,,1,DWW
