authors,pmid_isbn,pmcid,nihmsid,doi,citation_count,open_access,first_page,last_page,title,year,publication,volume,type_mapping,packet
"Han ZS, Buhl EH, Lorinczi Z, Somogyi P",8261117,,,10.1111/j.1460-9568.1993.tb00507.x,,,395,410,A high degree of spatial selectivity in the axonal and dendritic domains of physiologically identified local-circuit neurons in the dentate gyrus of the rat hippocampus,1993 May 1,Eur J Neurosci,5,1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell,1
"Halasy K, Somogyi P",8261118,,,10.1111/j.1460-9568.1993.tb00508.x,,,411,429,Subdivisions in the multiple GABAergic innervation of granule cells in the dentate gyrus of the rat hippocampus,1993 May 1,Eur J Neurosci,5,1010: DG:AA: Dentate gyrus axo-axonic cells,1
"Tamamaki N, Nojyo Y",8269038,,,10.1002/hipo.450030408,,,471,480,Projection of the entorhinal layer II neurons in the rat as revealed by intracellular pressure-injection of neurobiotin,1993 Oct,Hippocampus,3,6003: EC:SC_II: EC layer II spiny stellate neurons,1
"Soriano E, Martinez A, Farinas I, Frotscher M",8276990,,,10.1002/cne.903370110,,,151,167,Chandelier cells in the hippocampal formation of the rat: the entorhinal area and subicular complex,1993 Nov 1,J Comp Neurol,337,5002: SUB:AA: subiculum chandelier cell ### 6048: EC:AA_II: EC chandelier cells ### 6076: EC:AA_II-III: EC layer II / III chandelier cells,1
"Li XG, Somogyi P, Ylinen A, Buzsaki G",8300905,,,10.1002/cne.903390204,,,181,208,The hippocampal CA3 network: an in vivo intracellular labeling study,1994 Jan 8,J Comp Neurol,339,"2000: CA3:PC-ab: CA3a pyramidal neuron, CA3b pyramidal neuron ### 2004: CA3:PC-c: CA3c pyramidal neuron",1
"Soltesz I, Bourassa J, Deschenes M",8309524,,,10.1016/0306-4522(93)90005-Z,,,555,564,The behavior of mossy cells of the rat dentate gyrus during theta oscillations in vivo. ,1993 Dec,Neuroscience,57,1032: DG:MC_proj: DG mossy cells,0
"Soriano E, Frotscher M",8376624,,,10.1002/cne.903340305,,,385,396,GABAergic innervation of the rat fascia dentata: a novel type of interneuron in the granule cell layer with extensive axonal arborization in the molecular layer,1993 Aug 15,J Comp Neurol,334,1005: DG:TML-MOLAX: Dentate gyrus neuron with an axon innervating the molecular layer,1
"Obenaus A, Esclapez M, Houser CR",8410199,,,,,,4470,4485,Loss of glutamate decarboxylase mRNA-containing neurons in the rat dentate gyrus following pilocarpine-induced seizures. ,1993 Oct,J Neurosci,13,,0
"Jones RS, Buhl EH",8469376,,,10.1016/0304-3940(93)90341-H,,,35,39,Basket-like interneurones in layer II of the entorhinal cortex exhibit a powerful NMDA-mediated synaptic excitation,1993 Jan 4,Neurosci Lett,149,6053: EC:MPI-BC_II: EC layer II fast-spiking interneurones,1
"Ishizuka N, Cowan WM, Amaral DG",8576427,,,10.1002/cne.903620103,,,17,45,A quantitative analysis of the dendritic organization of pyramidal cells in the rat hippocampus,1995 Nov 6,J Comp Neurol,362,,0
"Patton PE, McNaughton B",8589792,,,10.1002/hipo.450050402,,,245,286,Connection matrix of the hippocampal formation: I. The dentate gyrus,1995,Hippocampus,5,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HIPP cell, Dentate gyrus somatostatin-positive GABAergic peptidergic polymorphic cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus basket cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell, Dentate gyrus somatostatin-positive GABAergic peptidergic polymorphic cell ### 2004: CA3:PC-c: pyramidal cell in the portion of CA3 most proximal to the DG ### 3000: CA2:PC: CA2 pyramidal cell",1
"Khazipov R, Congar P, Ben-Ari Y",8592201,,,,,,2126,2137,Hippocampal CA1 lacunosum-moleculare interneurons: modulation of monosynaptic GABAergic IPSCs by presynaptic GABAB receptors,1995 Nov,J Neurophysiol,74,"4005: CA1:NGF-LM: CA1 lacunosum-moleculare interneuron, CA1 LM interneuron",1
"Miles R, Toth K, Gulyas AI, Hajos N, Freund TF",8607999,,,10.1016/S0896-6273(00)80101-4,,,815,823,Differences between somatic and dendritic inhibition in the hippocampus,1996 Apr,Neuron,16,2030: CA3:BiC-ivy: CA3 dendritic inhibitory cell,1
"Gulyas AI, Hajos N, Freund TF",8627375,,,,,,3397,3411,Interneurons containing calretinin are specialized to control other interneurons in the rat hippocampus,1996 May 15,J Neurosci,16,"4056: CA1:SR_IS-1: CA1 calretinin-immunoreactive interneurons, CA1 CR-IR cells,  ### 4031: CA1:SO_IS-1: CA1 calretinin-immunoreactive interneurons, CA1 CR-IR cells, CA1 CR-containing inhibitory interneurons ### 1016: DG:IS-1: DG calretinin-immunoreactive interneurons",1
"Buckmaster PS, Wenzel HJ, Kunkel DD, Schwartzkroin PA",8698887,,,10.1002/(SICI)1096-9861(19960304)366:2&lt;270::AID-CNE7&gt;3.0.CO;2-2,,,271,292,Axon arbors and synaptic connections of hippocampal mossy cells in the rat in vivo,1996 Mar 4,J Comp Neurol,366,"1002: DG:MC: Dentate gyrus mossy cell ### 1031: DG:quad_MC: ""Some cells (n = 6 ### 1031: DG:quad_MC: 43%)""",1
"Maccaferri G, McBain CJ",8757246,,,,,,5334,5343,Long-term potentiation in distinct subtypes of hippocampal nonpyramidal neurons,1996 Sep 1,J Neurosci,16,"4054: CA1:PLP-RGC: CA1 radiatum giant cell, CA1 RG",1
"Hajos N, Acsady L, Freund TF",8758949,,,10.1111/j.1460-9568.1996.tb01604.x,,,1415,1431,Target selectivity and neurochemical characteristics of VIP-immunoreactive interneurons in the rat dentate gyrus,1996 Jul,Eur J Neurosci,8,1008: DG:MOPP-NGF: Dentate gyrus VIP-positive neuron ### 1033: DG:BC: Dentate gyrus VIP-positive basket cell ### 2042: CA3:IS-3: CA3 VIP-positive neuron ### 1024: DG:VIP-SM: DG VIP-positive neurons ### 1017: DG:IS-3_proj: DG VIP-positive neurons ### 1018: DG:SG_IS-3: DG VIP-positive neurons ### 1019: DG:IS-3: DG VIP-positive neurons ### 1020: DG:H_IS-3: DG VIP-positive neurons ### 2031: CA3:SM_IS-3: DG VIP-positive neurons,1
"van Haeften T, Jorritsma-Byham B, Witter MP",8773257,,,10.1002/hipo.450050507,,,452,459,Quantitative morphological analysis of subicular terminals in the rat entorhinal cortex,1995,Hippocampus,5,,0
"Acsady L, Arabadzisz D, Freund TF",8783251,,,10.1016/0306-4522(95)00610-9,,,299,315,Correlated morphological and neurochemical features identify different subsets of vasoactive intestinal polypeptide-immunoreactive interneurons in rat hippocampus,1996 Jul,Neuroscience,73,"4056: CA1:SR_IS-1: CA1 vasoactive intestinal peptide-immunoreactive interneurons, CA1 VIP-containing cells, CA1 VIP-immunoreactive interneurons ### 4020: CA1:quad_IS-3: CA1 VIP-positive cell ### 4021: CA1:IS-2: CA1 vasoactive intestinal polypeptide-containing interneurons, CA1 VIP-immunoreactive interneurons ### 4044: CA1:SR_IS-1a: CA1 VIP-immunoreactive interneurons ### 4046: CA1:tri_IS_I: CA1 VIP-immunoreactive interneurons ### 4058: CA1:IS-1a: CA1 VIP-immunoreactive interneurons ### 4049: CA1:IS-1b: CA1 VIP-immunoreactive interneurons ### 4050: CA1:IS-1c: CA1 VIP-immunoreactive interneurons",1
"Acsady L, Gorcs TJ, Freund TF",8783252,,,10.1016/0306-4522(95)00609-5,,,317,334,Different populations of vasoactive intestinal polypeptide-immunoreactive interneurons are specialized to control pyramidal cells or interneurons in the hippocampus,1996 Jul,Neuroscience,73,"4056: CA1:SR_IS-1: CA1 vasoactive intestinal peptide-positive interneurons, CA1 VIP-containing interneurons, CA1 VIP-immunoreactive interneurons ### 4020: CA1:quad_IS-3: CA1 vasoactive intestinal polypeptide-positive interneurons, CA1 VIP-immunoreactive interneurons, VlP-containing cell ### 4021: CA1:IS-2: CA1 vasoactive intestinal polypeptide-containing interneurons, CA1 VIP-positive interneurons ### 4058: CA1:IS-1a: CA1 VIP-immunoreactive interneurons",1
"Rasmussen T, Schliemann T, Sorensen JC, Zimmer J, West MJ",8786797,,,10.1016/0197-4580(95)02032-2,,,143,147,Memory impaired aged rats: no loss of principal hippocampal and subicular neurons. ,1996 Jan-Feb,Neurobiol Aging,17,,0
"Rapp PR, Gallagher M",8790433,PMC38531,,10.1073/pnas.93.18.9926,,1,9926,9930,Preserved neuron number in the hippocampus of aged rats with spatial learning deficits,1996 Sep 3,Proc Natl Acad Sci U S A,93,,0
"Halasy K, Buhl EH, Lorinczi Z, Tamas G, Somogyi P",8841829,,,10.1002/(SICI)1098-1063(1996)6:3&amp;lt;306::AID-HIPO8&amp;gt;3.0.CO;2-K,,,306,329,Synaptic target selectivity and input of GABAergic basket and bistratified interneurons in the CA1 area of the rat hippocampus,1996,Hippocampus,6,,0
"Freund TF, Buzsaki G",8915675,,,10.1002/(SICI)1098-1063(1996)6:4&amp;lt;347::AID-HIPO1&amp;gt;3.0.CO;2-I,,,347,470,Interneurons of the hippocampus,1996,Hippocampus,6,"1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1008: DG:MOPP-NGF: Dentate gyrus MOPP cell ### 1009: DG:HICAP: Dentate gyrus HICAP cell ### 1010: DG:AA: Dentate gyrus axo-axonic cells, Dentate gyrus chandelier cells ### 1033: DG:BC: Dentate gyrus pyramidal basket cells, Dentate gyrus basket cells, Dentate gyrus VIP-containing basket cells, Dentate gyrus basket 1 cells, Dentate gyrus basket 2 cells ### 1013: DG:HIPP: Dentate gyrus HIPP cell ### 2000: CA3:PC-ab: CA3c pyramidal cell ### 2004: CA3:PC-c: CA3c pyramidal cell ### 2029: CA3:BC: CA3 basket cell, CA3 basket 1 cell, CA3 basket 2 cell ### 2028: CA3:AA: CA3 chandelier cell, CA3 axo-axonic cell ### 2030: CA3:BiC-ivy: CA3 bistratified cell ### 2020: CA3:TriC: CA3 horizontal trilaminar, CA3 trilaminar cell ### 4000: CA1:PC: CA1 pyramidal cell ### 4005: CA1:NGF-LM: CA1 stratum lacunosum-moleculare interneuron, CA1 LM interneuron ### 4013: CA1:BiC-TriC: radial trilaminar cell ### 4037: CA1:BC: CA1 basket, CA1 horizontal basket, CA1 SR basket ### 4036: CA1:AA: CA1 chandelier cell ### 4021: CA1:IS-2: CA1 IS-2 cells ### 4023: CA1:BP: CA1 back-projection neuron, CA1 backprojection neuron ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4028: CA1:SCA-SR-CB: CA1 stratum radiatum neuron ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar horizontal ### 4039: CA1:BC-FSPTI: CA1 basket cell restricted to stratum oriens with horizontal dendrites ### 2024: CA3:TriC_rad: CA3 radial trilaminar cells ### 2007: CA3:quad_O-LM: CA3 O-LM cells ### 4007: CA1:CH: CA1 ChAT-positive cells",1
"Gulyas AI, Freund TF",8953305,,,10.1002/(SICI)1098-1063(1996)6:5&amp;lt;525::AID-HIPO5&amp;gt;3.0.CO;2-H,,,525,534,Pyramidal cell dendrites are the primary targets of calbindin D28k-immunoreactive interneurons in the hippocampus,1996,Hippocampus,6,2023: CA3:R-CB: CA3 calbindin D28k-immunoreactive type I interneurons ### 2022: CA3:CB: CA3 calbindin D28k-immunoreactive type I interneurons ### 4028: CA1:SCA-SR-CB: CA1 calbindin D28k-immunoreactive type I interneurons ### 4033: CA1:CB-SOSO: CA1 calbindin D28k-immunoreactive nonprincipal neurons ### 4048: CA1:bi_CB: CA1 Type I cells ### 4059: CA1:SR_CB: CA1 Type I cells,1
"Gloveli T, Schmitz D, Empson RM, Dugladze T, Heinemann U",9070741,,,10.1016/S0306-4522(96)00494-0,,,629,648,Morphological and electrophysiological characterization of layer III cells of the medial entorhinal cortex of the rat,1997 Apr,Neuroscience,77,6092: EC:PC_III: MEC type 1 pyramidal cell ### 6038: EC:type_4_III: MEC type 4 local circuit cell ### 6087: EC:PL-BPN_III: MEC layer III type 3 pyramid-shaped cells ### 6072: EC:PC_III_nonspiny: EC Type 2 cells,1
"Nomura T, Fukuda T, Aika Y, Heizmann CW, Emson PC, Kobayashi T, Kosaka T",9098569,,,10.1016/S0006-8993(96)01395-9,,,64,80,"Distribution of nonprincipal neurons in the rat hippocampus, with special reference to their dorsoventral difference",1997 Mar 14,Brain Res,751,,0
"Sik A, Penttonen M, Buzsaki G",9104599,,,10.1111/j.1460-9568.1997.tb01634.x,,,573,588,Interneurons in the hippocampal dentate gyrus: an in vivo intracellular study,1997 Mar,Eur J Neurosci,9,1033: DG:BC: Dentate gyrus HICAP-like cells,1
"Mott DD, Turner DA, Okazaki MM, Lewis DV",9151716,,,,,,3990,4005,Interneurons of the dentate-hilus border of the rat dentate gyrus: morphological and electrophysiological heterogeneity,1997 Jun 1,J Neurosci,17,"1004: DG:TML: Dentate gyrus total molecular layer cell ### 1005: DG:TML-MOLAX: Dentate gyrus total molecular layer cell ### 1006: DG:OML: Interneurons with outer molecular layer axons, OML cells ### 1009: DG:HICAP: Dentate gyrus IML cell ### 1033: DG:BC: Dentate gyrus inner molecular layer cells, Dentate gyrus IML cells ### 1034: DG:OML: DG total molecular layer cells; DG TML cells",1
"Geiger JR, Lubke J, Roth A, Frotscher M, Jonas P",9208867,,,10.1016/S0896-6273(00)80339-6,,,1009,1023,Submillisecond AMPA receptor-mediated signaling at a principal neuron-interneuron synapse,1997 Jun,Neuron,18,1000: DG:GC: Dentate gyrus granule cell ### 1033: DG:BC: Dentate gyrus basket cells,1
"Mulders WH, West MJ, Slomianka L",9268118,,,10.1002/(SICI)1096-9861(19970818)385:1&lt;83::AID-CNE5&gt;3.0.CO;2-8,,,83,94,"Neuron numbers in the presubiculum, parasubiculum, and entorhinal area of the rat",1997 Aug 18,J Comp Neurol,385,,0
"Nomura T, Fukuda T, Aika Y, Heizmann CW, Emson PC, Kobayashi T, Kosaka T",9295210,,,10.1016/S0006-8993(97)00457-5,,,197,204,"Laminar distribution of non-principal neurons in the rat hippocampus, with special reference to their compositional difference among layers",1997 Aug 1,Brain Res,764,,0
"Spruston N, Lubke J, Frotscher M",9300769,,,10.1002/(SICI)1096-9861(19970901)385:3&lt;427::AID-CNE7&gt;3.0.CO;2-5,,,427,440,Interneurons in the stratum lucidum of the rat hippocampus: an anatomical and electrophysiological characterization,1997 Sep 1,J Comp Neurol,385,"2013: CA3:LC-1: CA3 spiny lucidum neuron, CA3 aspiny stratum lucidum neuron ### 2014: CA3:LC-2: CA3 spiny lucidum neuron, CA3 aspiny stratum lucidum neuron",1
"Dickson CT, Mena AR, Alonso A",9330357,,,10.1016/S0306-4522(97)00263-7,,,937,950,Electroresponsiveness of medial entorhinal cortex layer III neurons in vitro,1997 Dec,Neuroscience,81,6017: EC:PC_III_sm: MEC layer III pyramidal cells,1
"Hajos N, Mody I",9334415,,,,,,8427,8442,Synaptic communication among hippocampal interneurons: properties of spontaneous IPSCs in morphologically identified cells,1997 Nov 1,J Neurosci,17,4004: CA1:PPA_proj: CA1 R-LM cell ### 4076: CA1:PPA: CA1 R-LM cell H-0408 ### 4013: CA1:BiC-TriC: radial trilaminar cell ### 4069: CA1:O-LM: CA1 O-LM cells ### 4026: CA1:BiC-ivy: CA1 bistratified cells ### 4035: CA1:TH-ORP-DP-OR: CA1 trilaminar ### 4074: CA1:TriC_rad: CA1 radial trilaminar cell H-0414,1
"Klink R, Alonso A",9347353,,,10.1002/(SICI)1098-1063(1997)7:5&amp;lt;571::AID-HIPO12&amp;gt;3.0.CO;2-Y,,,571,583,Morphological characteristics of layer II projection neurons in the rat medial entorhinal cortex,1997,Hippocampus,7,"6082: EC:excitatory: EC layer II stellate cells, EC layer II horizontal tripolar cells ### 6008: EC:PC-MFC_II: MEC layer II pyramidal-like neurons",1
"Ali AB, Thomson AM",9490837,PMC2230767,,10.1111/j.1469-7793.1998.185bu.x,,1,185,199,Facilitating pyramid to horizontal oriens-alveus interneurone inputs: dual intracellular recordings in slices of rat hippocampus,1998 Feb 15,J Physiol,507 ( Pt 1),4069: CA1:O-LM: CA1 horizontal O-A interneurones ### 4067: CA1:SO_O-LM: CA1 horizontal O-A interneurones,1
"Ali AB, Deuchars J, Pawelzik H, Thomson AM",9490840,PMC2230771,,10.1111/j.1469-7793.1998.201bu.x,,1,201,217,CA1 pyramidal to basket and bistratified cell EPSPs: dual intracellular recordings in rat hippocampal slices,1998 Feb 15,J Physiol,507 ( Pt 1),,0
"Lubke J, Frotscher M, Spruston N",9497429,,,,,,1518,1534,Specialized electrophysiological properties of anatomically identified neurons in the hilar region of the rat fascia dentata,1998 Mar,J Neurophysiol,79,1000: DG:GC: Dentate gyrus granule cell ### 1002: DG:MC: Dentate gyrus mossy cell ### 1026: DG:HICAL: Dentate gyrus spiny hilar interneurons with projections to the outer molecular layer; Dentate gyrus aspiny hilar interneurons with projections to the outer molecular layer ### 1027: DG:aspiny_hilar: Dentate gyrus aspiny interneuron with projection to the inner molecular layer,1
"Vida I, Halasy K, Szinyei C, Somogyi P, Buhl EH",9503336,PMC2230758,,10.1111/j.1469-7793.1998.755bv.x,,1,755,773,Unitary IPSPs evoked by interneurons at the stratum radiatum-stratum lacunosum-moleculare border in the CA1 area of the rat hippocampus in vitro,1998 Feb 1,J Physiol,506 ( Pt 3),4005: CA1:NGF-LM: CA1 neurogliaform interneuron ### 4006: CA1:PPA-SUB: perforant path-associated ### 4015: CA1:SCA-ADI: CA1 Schaffer-associated interneurons,1
"Acsady L, Kamondi A, Sik A, Freund T, Buzsaki G",9547246,,,,,,3386,3403,GABAergic cells are the major postsynaptic targets of mossy fibers in the rat hippocampus,1998 May 1,J Neurosci,18,1000: DG:GC: Dentate gyrus granule cell,1
"Naber PA, Witter MP",9548550,,,10.1002/(SICI)1096-9861(19980413)393:3&lt;284::AID-CNE2&gt;3.0.CO;2-Y,,,284,297,"Subicular efferents are organized mostly as parallel projections: a double-labeling, retrograde-tracing study in the rat. ",1998 Apr 13,J Comp Neurol,393,,0
"Dolorfo CL, Amaral DG",9703026,,,10.1002/(SICI)1096-9861(19980817)398:1&lt;25::AID-CNE3&gt;3.0.CO;2-B,,,25,48,Entorhinal cortex of the rat: topographic organization of the cells of origin of the perforant path projection to the dentate gyrus,1998 Aug 17,J Comp Neurol,398,,0
"van der Linden S, Lopes da Silva FH",9749802,,,10.1046/j.1460-9568.1998.00162.x,,,1479,1489,Comparison of the electrophysiology and morphology of layers III and II neurons of the rat medial entorhinal cortex in vitro,1998 Apr,Eur J Neurosci,10,6092: EC:PC_III: MEA layer III pyramidal cell,1
"Jinno S, Aika Y, Fukuda T, Kosaka T",9838044,,,10.1016/S0006-8993(98)01075-0,,,55,70,"Quantitative analysis of GABAergic neurons in the mouse hippocampus, with optical disector using confocal laser scanning microscope",1998 Dec 14,Brain Res,814,,0
"Svoboda KR, Adams CE, Lupica CR",9870941,,,,,,85,95,Opioid receptor subtype expression defines morphologically distinct classes of hippocampal interneurons,1999 Jan 1,J Neurosci,19,"4069: CA1:O-LM: CA1 OLM or horizontal cells ### 4067: CA1:SO_O-LM: CA1 OLM or horizontal cells ### 4077: CA1:O-LM_proj: CA1 stratum oriens ""backprojection"" cell",1
"Gulyas AI, Toth K, McBain CJ, Freund TF",9875359,,,10.1046/j.1460-9568.1998.00402.x,,,3813,3822,Stratum radiatum giant cells: a type of principal cell in the rat hippocampus,1998 Dec,Eur J Neurosci,10,"4054: CA1:PLP-RGC: CA1 radiatum giant cell, CA1 RGC",1
"Buckmaster PS, Dudek FE",10036272,,,,,,712,721,In vivo intracellular analysis of granule cell axon reorganization in epileptic rats,1999 Feb,J Neurophysiol,81,1000: DG:GC: Dentate gyrus granule cell,1
"Katona I, Acsady L, Freund TF",10051188,,,10.1016/S0306-4522(98)00302-9,,,37,55,Postsynaptic targets of somatostatin-immunoreactive interneurons in the rat hippocampus,1999 Jan,Neuroscience,88,4068: CA1:O-BiC: CA1 somatostatin-positive cell #4,1
"Cossart R, Esclapez M, Hirsch JC, Bernard C, Ben-Ari Y",10196544,,,"Mar 28, 865",,,470,478,GluR5 kainate receptor activation in interneurons increases tonic inhibition of pyramidal cells,1998 Oct,Nat Neurosci,1,"4006: CA1:PPA-SUB: perforant path-associated ### 4015: CA1:SCA-ADI: CA1 Schaffer-associated interneurons ### 4033: CA1:CB-SOSO: CA1 oriens-oriens cells, CA1 O-O cells",1
"Toth K, McBain CJ",10196564,,,"Feb 25, 833",,,572,578,Afferent-specific innervation of two distinct AMPA receptor subtypes on single hippocampal interneurons,1998 Nov,Nat Neurosci,1,2017: CA3:LC-3: CA3 stratum lucidum interneuron ### 2019: CA3:SLC: CA3 stratum lucidum interneuron ### 2027: CA3:LC-4: CA3 stratum lucidum interneurons,1
"Abusaad I, MacKay D, Zhao J, Stanford P, Collier DA, Everall IP",10340505,,,10.1002/(SICI)1096-9861(19990614)408:4&lt;560::AID-CNE9&gt;3.0.CO;2-P,,,560,566,Stereological estimation of the total number of neurons in the murine hippocampus using the optical disector,1999 Jun 14,J Comp Neurol,408,,0
"Gulyas AI, Acsady L, Freund TF",10397363,,,10.1016/S0197-0186(99)00041-8,,,359,372,Structural basis of the cholinergic and serotonergic modulation of GABAergic neurons in the hippocampus. ,1999 May,Neurochem Int,34,4007: CA1:CH: CA1 ChAT-IR cells,0
"Jinno S, Aika Y, Fukuda T, Kosaka T",10404408,,,10.1002/(SICI)1096-9861(19990802)410:3&lt;398::AID-CNE4&gt;3.0.CO;2-9,,,398,412,Quantitative analysis of neuronal nitric oxide synthase-immunoreactive neurons in the mouse hippocampus with optical disector,1999 Aug 2,J Comp Neurol,410,,0
"Buckmaster PS, Jongen-Relo AL",10531454,,,,,,9519,9529,Highly specific neuron loss preserves lateral inhibitory circuits in the dentate gyrus of kainate-induced epileptic rats,1999 Nov 1,J Neurosci,19,,1
"Vida I, Frotscher M",10655521,PMC15594,,10.1073/pnas.97.3.1275,,1,1275,1280,A hippocampal interneuron associated with the mossy fiber system,2000 Feb 1,Proc Natl Acad Sci U S A,97,2035: CA3:MFA-2: CA3 mossy fiber-associated interneurons,1
"Hamam BN, Kennedy TE, Alonso A, Amaral DG",10713573,,,10.1002/(SICI)1096-9861(20000320)418:4&lt;457::AID-CNE7&gt;3.0.CO;2-L,,,457,472,Morphological and electrophysiological characteristics of layer V neurons of the rat medial entorhinal cortex,2000 Mar 20,J Comp Neurol,418,6085: EC:PC_V-DG: EC layer V horizontal cell ### 6021: EC:PC_V_sm: EC layer V pyramidal cells ### 6052: EC:PC-PMC_V/VI: MEC layer V polymorphic cells ### 6077: EC:MPN_2_V: EC layer V polymorphic cells,1
"Maccaferri G, Roberts JD, Szucs P, Cottingham CA, Somogyi P",10747186,PMC2269850,,10.1111/j.1469-7793.2000.t01-3-00091.x,,1,91,116,Cell surface domain specific postsynaptic currents evoked by identified GABAergic neurones in rat hippocampus in vitro,2000 Apr 1,J Physiol,524 Pt 1,"4069: CA1:O-LM: CA1 O-LM cells ### 4035: CA1:TH-ORP-DP-OR: CA1 oriens-bistratified cells, CA1 O-BiCs ### 4039: CA1:BC-FSPTI: CA1 basket cell, CA1 CCK-immunopositive basket cells",1
"Oliva AA Jr, Jiang M, Lam T, Smith KL, Swann JW",10777798,,,,,,3354,3368,Novel hippocampal interneuronal subtypes identified using transgenic mice that express green fluorescent protein in GABAergic interneurons,2000 May 1,J Neurosci,20,,1
"Wouterlood FG, van Denderen JC, van Haeften T, Witter MP",10954838,,,10.1002/1096-9861(20000918)425:2&lt;177::AID-CNE2&gt;3.0.CO;2-G,,,177,192,"Calretinin in the entorhinal cortex of the rat: distribution, morphology, ultrastructure of neurons, and co-localization with gamma-aminobutyric acid and parvalbumin",2000 Sep 18,J Comp Neurol,425,6094: EC:FOMP: EC layer I small spherical multipolar neurons ### 6087: EC:PL-BPN_III: EC layer III bipolar cells ### 6046: EC:med_MPN_III: LEC layer II large multipolar neurons with a medium-sized perikaryon ### 6029: EC:lg_MPN_III: EC layer III large multipolar cells ### 6032: EC:lg_MPN_2_III: EC layer III large multipolar cells ### 6051: EC:sm_sph_MPN_III: EC layer III small spherical multipolar cells,1
"Acsady L, Katona I, Martinez-Guijarro FJ, Buzsaki G, Freund TF",10995835,,,,,,6907,6919,Unusual target selectivity of perisomatic inhibitory cells in the hilar region of the rat hippocampus,2000 Sep 15,J Neurosci,20,,0
"Blasco-Ibanez JM, Martinez-Guijarro FJ, Freund TF",11043552,,,10.1097/00001756-200009280-00034,,,3219,3225,Recurrent mossy fibers preferentially innervate parvalbumin-immunoreactive interneurons in the granule cell layer of the rat dentate gyrus,2000 Sep 28,Neuroreport,11,1000: DG:GC: Dentate gyrus granule cell,1
"Staff NP, Jung HY, Thiagarajan T, Yao M, Spruston N",11067982,,,,,,2398,2408,Resting and active properties of pyramidal neurons in subiculum and CA1 of rat hippocampus,2000 Nov,J Neurophysiol,84,,0
"Gloveli T, Dugladze T, Schmitz D, Heinemann U",11168548,,,10.1046/j.0953-816X.2000.01405.x,,,413,420,Properties of entorhinal cortex deep layer neurons projecting to the rat dentate gyrus,2001 Jan,Eur J Neurosci,13,6002: EC:PC_V-DG-SUB: EC deep layer pyramidal neuron ### 6085: EC:PC_V-DG: EC layer V pyramidal neuron ### 6086: EC:MPN_V-VI: EC layer V multipolar neuron; EC layer V nonpyramidal projection neuron,1
"Megias M, Emri Z, Freund TF, Gulyas AI",11226691,,,10.1016/S0306-4522(00)00496-6,,,527,540,Total number and distribution of inhibitory and excitatory synapses on hippocampal CA1 pyramidal cells,2001,Neuroscience,102,,0
"OMara SM, Commins S, Anderson M, Gigg J",11240210,,,10.1016/S0301-0082(00)00054-X,,,129,155,"The subiculum: a review of form, physiology and function",2001 Jun,Prog Neurobiol,64,5001: SUB:PC-EC: subicular pyramidal neuron ### 5005: SUB:PC-CA1: subicular pyramidal neuron,1
"Harris E, Stewart M",11259758,,,10.1016/S0006-8993(01)02023-6,,,41,49,Propagation of synchronous epileptiform events from subiculum backward into area CA1 of rat brain slices,2001 Mar 23,Brain Res,895,5005: SUB:PC-CA1: subicular pyramidal cell,1
"Bartos M, Vida I, Frotscher M, Geiger JR, Jonas P",11306622,,,,,,2687,2698,Rapid signaling at inhibitory synapses in a dentate gyrus interneuron network,2001 Apr 15,J Neurosci,21,1033: DG:BC: Dentate gyrus basket cells,1
"Naber PA, Lopes da Silva FH, Witter MP",11345131,,,10.1002/hipo.1028,,,99,104,Reciprocal connections between the entorhinal cortex and hippocampal fields CA1 and the subiculum are in register with the projections from CA1 to the subiculum,2001,Hippocampus,11,4000: CA1:PC: CA1 fibers,1
"Savic N, Sciancalepore M",11353016,,,,,,1998,2007,"Electrophysiological characterization of ""giant"" cells in stratum radiatum of the CA3 hippocampal region",2001 May,J Neurophysiol,85,2003: CA3:RGC: CA3 giant cell ### 2002: CA3:SO_RGC: CA3 giant cell,1
"Harris E, Stewart M",11406829,PMC1592136,NIHMSID12522,10.1002/cne.1047,,1,506,518,Intrinsic connectivity of the rat subiculum: II. Properties of synchronous spontaneous activity and a demonstration of multiple generator regions,2001 Jul 9,J Comp Neurol,435,"5001: SUB:PC-EC: subicular pyramidal cell, subicular principal cell ### 5005: SUB:PC-CA1: subicular pyramidal cell, subicular principal cell",1
"Boyett JM, Buckmaster PS",11530846,,,10.1002/hipo.1056,,,418,422,Somatostatin-immunoreactive interneurons contribute to lateral inhibitory circuits in the dentate gyrus of control and epileptic rats. ,2001,Hippocampus,11,,0
